Name,Rating,Ranked,Popularity,Members,Type
Sousou no Frieren,9.32,1,Sep 2023 - Mar 2024,"974,075 members",TV
Fullmetal Alchemist: Brotherhood,9.10,2,Apr 2009 - Jul 2010,"3,452,671 members",TV
One Piece Fan Letter,9.09,3,Oct 2024 - Oct 2024,"73,667 members",TV
Steins;Gate,9.07,4,Apr 2011 - Sep 2011,"2,645,303 members",TV
Shingeki no Kyojin Season 3 Part 2,9.05,5,Apr 2019 - Jul 2019,"2,379,562 members",TV
Gintama°,9.05,6,Apr 2015 - Mar 2016,"651,574 members",TV
Gintama: The Final,9.04,7,Jan 2021 - Jan 2021,"160,753 members",Movie
Gintama',9.03,8,Apr 2011 - Mar 2012,"575,334 members",TV
Hunter x Hunter (2011),9.03,9,Oct 2011 - Sep 2014,"2,949,251 members",TV
Gintama': Enchousen,9.02,10,Oct 2012 - Mar 2013,"335,443 members",TV
Ginga Eiyuu Densetsu,9.01,11,Jan 1988 - Mar 1997,"334,349 members",OVA
Bleach: Sennen Kessen-hen,9.00,12,Oct 2022 - Dec 2022,"599,822 members",TV
Kaguya-sama wa Kokurasetai: Ultra Romantic,8.99,13,Apr 2022 - Jun 2022,"992,495 members",TV
Gintama.,8.98,14,Jan 2017 - Mar 2017,"325,229 members",TV
Bleach: Sennen Kessen-hen - Soukoku-tan,8.97,15,Oct 2024 - Dec 2024,"177,383 members",TV
Fruits Basket: The Final,8.96,16,Apr 2021 - Jun 2021,"507,278 members",TV
Clannad: After Story,8.93,17,Oct 2008 - Mar 2009,"1,222,953 members",TV
Gintama,8.93,18,Apr 2006 - Mar 2010,"1,095,696 members",TV
Koe no Katachi,8.93,19,Sep 2016 - Sep 2016,"2,422,876 members",Movie
3-gatsu no Lion 2nd Season,8.91,20,Oct 2017 - Mar 2018,"413,965 members",TV
Code Geass: Hangyaku no Lelouch R2,8.91,21,Apr 2008 - Sep 2008,"1,836,711 members",TV
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.90,22,Jul 2013 - Jul 2013,"247,252 members",Movie
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,23,Jul 2018 - Oct 2018,"207,124 members",TV
Kusuriya no Hitorigoto,8.88,24,Oct 2023 - Mar 2024,"517,045 members",TV
Monster,8.88,25,Apr 2004 - Sep 2005,"1,189,760 members",TV
Owarimonogatari 2nd Season,8.87,26,Aug 2017 - Aug 2017,"412,516 members",TV
Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.87,27,Mar 2023 - Nov 2023,"722,959 members",TV
Violet Evergarden Movie,8.85,28,Sep 2020 - Sep 2020,"649,829 members",Movie
Kimi no Na wa.,8.83,29,Aug 2016 - Aug 2016,"2,837,837 members",Movie
Kingdom 3rd Season,8.83,30,Apr 2020 - Oct 2021,"111,796 members",TV
Vinland Saga Season 2,8.81,31,Jan 2023 - Jun 2023,"693,597 members",TV
Gintama. Shirogane no Tamashii-hen,8.81,32,Jan 2018 - Mar 2018,"220,559 members",TV
Mob Psycho 100 II,8.79,33,Jan 2019 - Apr 2019,"1,599,659 members",TV
Jujutsu Kaisen 2nd Season,8.78,34,Jul 2023 - Dec 2023,"1,106,173 members",TV
Kizumonogatari III: Reiketsu-hen,8.78,35,Jan 2017 - Jan 2017,"480,271 members",Movie
Boku no Kokoro no Yabai Yatsu 2nd Season,8.78,36,Jan 2024 - Mar 2024,"231,634 members",TV
Shingeki no Kyojin: The Final Season,8.78,37,Dec 2020 - Mar 2021,"2,095,204 members",TV
Sen to Chihiro no Kamikakushi,8.77,38,Jul 2001 - Jul 2001,"1,913,486 members",Movie
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,39,Oct 2016 - Dec 2016,"1,248,027 members",TV
Hajime no Ippo,8.77,40,Oct 2000 - Mar 2002,"627,706 members",TV
Bocchi the Rock!,8.76,41,Oct 2022 - Dec 2022,"649,245 members",TV
Monogatari Series: Second Season,8.76,42,Jul 2013 - Dec 2013,"687,037 members",TV
Shingeki no Kyojin: The Final Season Part 2,8.76,43,Jan 2022 - Apr 2022,"1,383,075 members",TV
Vinland Saga,8.76,44,Jul 2019 - Dec 2019,"1,615,414 members",TV
Cowboy Bebop,8.75,45,Apr 1998 - Apr 1999,"1,929,241 members",TV
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.75,46,Dec 2022 - Dec 2022,"305,010 members",Movie
Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,8.75,47,Oct 2024 -,"321,775 members",TV
The First Slam Dunk,8.74,48,Dec 2022 - Dec 2022,"56,920 members",Movie
Ashita no Joe 2,8.73,49,Oct 1980 - Aug 1981,"56,041 members",TV
Kimetsu no Yaiba: Yuukaku-hen,8.73,50,Dec 2021 - Feb 2022,"1,541,109 members",TV
Kingdom 4th Season,8.73,51,Apr 2022 - Oct 2022,"71,645 members",TV
Kingdom 5th Season,8.73,52,Jan 2024 - Mar 2024,"43,664 members",TV
One Piece,8.73,53,Oct 1999 -,"2,466,094 members",TV
Shiguang Dailiren,8.73,54,Apr 2021 - Jul 2021,"403,164 members",ONA
Hibike! Euphonium 3,8.72,55,Apr 2024 - Jun 2024,"78,159 members",TV
Monogatari Series: Off & Monster Season,8.72,56,Jul 2024 - Oct 2024,"79,113 members",ONA
Mushishi Zoku Shou 2nd Season,8.72,57,Oct 2014 - Dec 2014,"275,150 members",TV
Look Back,8.71,58,Jun 2024 - Jun 2024,"114,537 members",Movie
Mob Psycho 100 III,8.71,59,Oct 2022 - Dec 2022,"744,141 members",TV
86 Part 2,8.71,60,Oct 2021 - Mar 2022,"548,572 members",TV
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.70,61,Jul 2023 - Sep 2023,"325,494 members",TV
Code Geass: Hangyaku no Lelouch,8.70,62,Oct 2006 - Jul 2007,"2,321,922 members",TV
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.70,63,Jan 2017 - Mar 2017,"191,981 members",TV
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.70,64,Feb 1999 - Sep 1999,"282,062 members",OVA
Mushishi Zoku Shou,8.69,65,Apr 2014 - Jun 2014,"308,716 members",TV
Mo Dao Zu Shi: Wanjie Pian,8.68,66,Aug 2021 - Oct 2021,"85,527 members",ONA
Dandadan,8.68,67,Oct 2024 - Dec 2024,"511,859 members",TV
Great Teacher Onizuka,8.68,68,Jun 1999 - Sep 2000,"858,176 members",TV
Violet Evergarden,8.68,69,Jan 2018 - Apr 2018,"1,854,253 members",TV
Natsume Yuujinchou Shichi,8.66,70,Oct 2024 - Dec 2024,"38,381 members",TV
Hajime no Ippo: New Challenger,8.67,71,Jan 2009 - Jul 2009,"299,518 members",TV
Howl no Ugoku Shiro,8.67,72,Nov 2004 - Nov 2004,"1,392,013 members",Movie
Tian Guan Cifu Er,8.66,73,Oct 2023 - Jan 2024,"51,059 members",ONA
Mononoke Hime,8.66,74,Jul 1997 - Jul 1997,"1,298,368 members",Movie
Mushishi,8.65,75,Oct 2005 - Jun 2006,"855,972 members",TV
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.65,76,Oct 2021 - Dec 2021,"999,675 members",TV
Odd Taxi,8.65,77,Apr 2021 - Jun 2021,"459,698 members",TV
Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.65,78,Aug 2020 - Aug 2020,"369,117 members",Movie
Made in Abyss,8.64,79,Jul 2017 - Sep 2017,"1,440,745 members",TV
Natsume Yuujinchou Shi,8.64,80,Jan 2012 - Mar 2012,"252,510 members",TV
Shigatsu wa Kimi no Uso,8.64,81,Oct 2014 - Mar 2015,"2,278,976 members",TV
Shiguang Dailiren II,8.63,82,Jul 2023 - Sep 2023,"129,107 members",ONA
Shingeki no Kyojin Season 3,8.63,83,Jul 2018 - Oct 2018,"2,464,470 members",TV
Tengen Toppa Gurren Lagann,8.63,84,Apr 2007 - Sep 2007,"1,660,782 members",TV
Bungou Stray Dogs 5th Season,8.63,85,Jul 2023 - Sep 2023,"211,227 members",TV
Haikyuu!! Movie: Gomisuteba no Kessen,8.63,86,Feb 2024 - Feb 2024,"161,617 members",Movie
Death Note,8.62,87,Oct 2006 - Jun 2007,"4,027,245 members",TV
Haikyuu!! Second Season,8.62,88,Oct 2015 - Mar 2016,"1,479,085 members",TV
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.62,89,Apr 2020 - Jun 2020,"1,396,576 members",TV
Made in Abyss: Retsujitsu no Ougonkyou,8.62,90,Jul 2022 - Sep 2022,"479,428 members",TV
Ping Pong the Animation,8.62,91,Apr 2014 - Jun 2014,"408,809 members",TV
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.61,92,Jan 2020 - Jan 2020,"489,453 members",Movie
Natsume Yuujinchou Roku,8.61,93,Apr 2017 - Jun 2017,"193,199 members",TV
"""Oshi no Ko"" 2nd Season",8.61,94,Jul 2024 - Oct 2024,"393,616 members",TV
Cyberpunk: Edgerunners,8.61,95,Sep 2022 - Sep 2022,"849,074 members",ONA
Dungeon Meshi,8.61,96,Jan 2024 - Jun 2024,"415,179 members",TV
Hajime no Ippo: Rising,8.61,97,Oct 2013 - Mar 2014,"272,553 members",TV
"""Oshi no Ko""",8.60,98,Apr 2023 - Jun 2023,"899,145 members",TV
Suzumiya Haruhi no Shoushitsu,8.60,99,Feb 2010 - Feb 2010,"623,462 members",Movie
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59,100,Jun 2019 - Jun 2019,"743,411 members",Movie
Shin Evangelion Movie:||,8.59,101,Mar 2021 - Mar 2021,"391,576 members",Movie
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.59,102,Apr 2009 - Apr 2009,"223,962 members",Movie
Kenpuu Denki Berserk,8.59,103,Oct 1997 - Apr 1998,"697,384 members",TV
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,104,Oct 2018 - Jul 2019,"1,070,343 members",TV
Mushishi Zoku Shou: Suzu no Shizuku,8.58,105,May 2015 - May 2015,"132,723 members",Movie
Jujutsu Kaisen,8.57,106,Oct 2020 - Mar 2021,"2,715,464 members",TV
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.57,107,Oct 2020 - Oct 2020,"1,623,878 members",Movie
Natsume Yuujinchou San,8.57,108,Jul 2011 - Sep 2011,"259,924 members",TV
Doupo Cangqiong: San Nian Zhi Yue,8.57,109,Oct 2021 - Jan 2022,"8,523 members",ONA
Kizumonogatari II: Nekketsu-hen,8.56,110,Aug 2016 - Aug 2016,"461,399 members",Movie
Nana,8.56,111,Apr 2006 - Mar 2007,"707,235 members",TV
Natsume Yuujinchou Go,8.56,112,Oct 2016 - Dec 2016,"193,616 members",TV
Ookami Kodomo no Ame to Yuki,8.56,113,Jul 2012 - Jul 2012,"832,363 members",Movie
Kimi no Suizou wo Tabetai,8.55,114,Sep 2018 - Sep 2018,"1,016,623 members",Movie
Perfect Blue,8.55,115,Feb 1998 - Feb 1998,"746,511 members",Movie
Haikyuu!! To the Top Part 2,8.55,116,Oct 2020 - Dec 2020,"857,897 members",TV
Shingeki no Kyojin,8.55,117,Apr 2013 - Sep 2013,"4,078,712 members",TV
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.55,118,Jul 1997 - Jul 1997,"966,944 members",Movie
Shouwa Genroku Rakugo Shinjuu,8.55,119,Jan 2016 - Apr 2016,"298,812 members",TV
Slam Dunk,8.55,120,Oct 1993 - Mar 1996,"313,899 members",TV
Yojouhan Shinwa Taikei,8.55,121,Apr 2010 - Jul 2010,"465,736 members",TV
Steins;Gate 0,8.54,122,Apr 2018 - Sep 2018,"899,562 members",TV
Fate/Zero 2nd Season,8.54,123,Apr 2012 - Jun 2012,"1,143,561 members",TV
Fruits Basket 2nd Season,8.54,124,Apr 2020 - Sep 2020,"537,499 members",TV
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.53,125,Dec 2022 - Dec 2022,"232,779 members",ONA
Kimi ni Todoke 3rd Season,8.53,126,Aug 2024 - Aug 2024,"78,060 members",ONA
Mushishi: Hihamukage,8.53,127,Jan 2014 - Jan 2014,"144,077 members",TV
Zoku Natsume Yuujinchou,8.53,128,Jan 2009 - Mar 2009,"255,103 members",TV
Shingeki no Kyojin Season 2,8.52,129,Apr 2017 - Jun 2017,"2,818,384 members",TV
Shoujo☆Kageki Revue Starlight Movie,8.52,130,Jun 2021 - Jun 2021,"21,805 members",Movie
Bakuman. 3rd Season,8.52,131,Oct 2012 - Mar 2013,"336,305 members",TV
Gintama Movie 1: Shinyaku Benizakura-hen,8.52,132,Apr 2010 - Apr 2010,"168,731 members",Movie
Gintama. Porori-hen,8.52,133,Oct 2017 - Dec 2017,"208,608 members",TV
Hotaru no Haka,8.52,134,Apr 1988 - Apr 1988,"705,888 members",Movie
Sora yori mo Tooi Basho,8.51,135,Jan 2018 - Mar 2018,"522,770 members",TV
Yuru Camp△ Season 2,8.51,136,Jan 2021 - Apr 2021,"236,448 members",TV
Kara no Kyoukai Movie 5: Mujun Rasen,8.51,137,Aug 2008 - Aug 2008,"244,065 members",Movie
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.51,138,Jan 2004 - Jan 2005,"232,233 members",TV
Samurai Champloo,8.51,139,May 2004 - Mar 2005,"1,276,802 members",TV
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.50,140,Apr 2016 - Dec 2016,"1,169,420 members",TV
Ousama Ranking,8.50,141,Oct 2021 - Mar 2022,"686,193 members",TV
Tian Guan Cifu Special,8.50,142,Feb 2021 - Feb 2021,"53,093 members",ONA
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.49,143,Oct 2013 - Oct 2013,"393,211 members",Movie
Mob Psycho 100,8.49,144,Jul 2016 - Sep 2016,"2,160,678 members",TV
One Punch Man,8.49,145,Oct 2015 - Dec 2015,"3,322,064 members",TV
Ansatsu Kyoushitsu 2nd Season,8.48,146,Jan 2016 - Jul 2016,"1,481,134 members",TV
Aria the Origination,8.48,147,Jan 2008 - Apr 2008,"133,578 members",TV
Spy x Family,8.48,148,Apr 2022 - Jun 2022,"1,675,525 members",TV
Uchuu Kyoudai,8.48,149,Apr 2012 - Mar 2014,"199,737 members",TV
Yakusoku no Neverland,8.48,150,Jan 2019 - Mar 2019,"2,032,670 members",TV
Summertime Render,8.47,151,Apr 2022 - Sep 2022,"583,092 members",TV
Nichijou,8.47,152,Apr 2011 - Sep 2011,"928,382 members",TV
Chainsaw Man,8.47,153,Oct 2022 - Dec 2022,"1,658,083 members",TV
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.47,154,Jan 2019 - Jan 2019,"404,773 members",Movie
Banana Fish,8.46,155,Jul 2018 - Dec 2018,"899,085 members",TV
Chihayafuru 3,8.46,156,Oct 2019 - Mar 2020,"146,842 members",TV
Gintama: The Semi-Final,8.46,157,Jan 2021 - Jan 2021,"82,597 members",Special
Yuu☆Yuu☆Hakusho,8.46,158,Oct 1992 - Jan 1995,"713,345 members",TV
Mo Dao Zu Shi,8.46,159,Jul 2018 - Oct 2018,"239,564 members",ONA
Mo Dao Zu Shi: Xian Yun Pian,8.46,160,Aug 2019 - Sep 2019,"110,214 members",ONA
Pluto,8.46,161,Oct 2023 - Oct 2023,"194,745 members",ONA
Rainbow: Nisha Rokubou no Shichinin,8.46,162,Apr 2010 - Sep 2010,"406,167 members",TV
Kimetsu no Yaiba,8.45,163,Apr 2019 - Sep 2019,"3,172,405 members",TV
Owarimonogatari,8.45,164,Oct 2015 - Dec 2015,"490,322 members",TV
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.45,165,Apr 2013 - Apr 2013,"610,619 members",Movie
Zoku Owarimonogatari,8.44,166,May 2019 - Jun 2019,"237,027 members",TV
Doupo Cangqiong: Nian Fan,8.44,167,Jul 2022 -,"8,880 members",ONA
Grand Blue,8.44,168,Jul 2018 - Sep 2018,"814,543 members",TV
Haikyuu!!,8.44,169,Apr 2014 - Sep 2014,"2,042,336 members",TV
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,8.44,170,Jan 2015 - Jun 2015,"1,157,680 members",TV
Karakai Jouzu no Takagi-san Movie,8.44,171,Jun 2022 - Jun 2022,"82,368 members",Movie
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,8.44,172,Apr 2024 - Jul 2024,"446,325 members",TV
Mushishi Zoku Shou: Odoro no Michi,8.43,173,Aug 2014 - Aug 2014,"104,618 members",TV
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.43,174,Jan 2021 - Mar 2021,"951,697 members",TV
Uma Musume: Pretty Derby - Shin Jidai no Tobira,8.43,175,May 2024 - May 2024,"8,177 members",Movie
Bungou Stray Dogs 4th Season,8.43,176,Jan 2023 - Mar 2023,"316,312 members",TV
Golden Kamuy 3rd Season,8.43,177,Oct 2020 - Dec 2020,"179,528 members",TV
Gintama: Yorinuki Gintama-san on Theater 2D,8.42,178,Aug 2012 - Aug 2012,"45,585 members",Movie
Hunter x Hunter,8.42,179,Oct 1999 - Mar 2001,"610,987 members",TV
Jujutsu Kaisen 0 Movie,8.42,180,Dec 2021 - Dec 2021,"1,061,671 members",Movie
Kono Oto Tomare! Part 2,8.42,181,Oct 2019 - Dec 2019,"186,823 members",TV
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.42,182,Aug 2019 - Aug 2019,"823,837 members",Movie
